,BandNumber,Species,Wing,Hallux,Culmen,Tail
0,877-76321,Red-tailed,375.0,30.0,27.2,243
1,877-76322,Red-tailed,412.0,31.3,29.3,210
2,877-76325,Red-tailed,390.0,30.9,28.9,213
3,1207-55917,Red-tailed,393.0,30.6,28.2,238
4,1207-55913,Red-tailed,436.0,34.0,30.5,232
5,877-76327,Red-tailed,381.0,28.9,28.9,202
6,877-76333,Red-tailed,392.0,30.3,27.0,213
7,1207-55914,Red-tailed,401.0,31.6,28.6,245
8,1207-55915,Red-tailed,395.0,31.4,27.1,207
9,1207-55916,Red-tailed,396.0,29.7,26.0,200
10,1207-55918,Red-tailed,391.0,32.4,25.5,215
11,1207-55919,Red-tailed,413.0,31.3,26.5,219
12,987-53707,Red-tailed,371.0,27.2,25.3,198
13,1207-55920,Red-tailed,385.0,30.1,27.3,207
14,877-76337,Red-tailed,378.0,31.3,25.4,204
15,1207-55921,Red-tailed,416.0,30.8,29.1,205
16,745-49513,Cooper's,240.0,19.3,16.1,192
17,1173-19907,Sharp-Shinned,176.0,11.1,9.8,133
18,1373-35272,Sharp-Shinned,194.0,14.2,11.4,154
19,877-76355,Red-tailed,390.0,29.1,30.2,209
20,877-76357,Red-tailed,391.0,29.4,26.4,212
21,877-76358,Red-tailed,387.0,31.0,26.8,209
22,877-76359,Red-tailed,435.0,30.6,32.6,235
23,877-76360,Red-tailed,400.0,28.6,25.5,222
24,1204-45804,Cooper's,233.0,19.4,17.8,186
25,1207-64602,Red-tailed,416.0,31.3,28.1,225
26,2003-58435,Sharp-Shinned,208.0,14.8,12.7,155
27,872-09614,Sharp-Shinned,177.0,11.3,10.0,137
28,872-09615,Sharp-Shinned,170.0,11.2,10.1,126
29,2003-58440,Sharp-Shinned,202.0,14.1,12.4,151
30,1387-79142,Red-tailed,390.0,29.0,27.6,205
31,1387-79146,Red-tailed,398.0,31.4,21.1,209
32,1387-079147,Red-tailed,394.0,29.7,25.5,211
33,1423-11209,Sharp-Shinned,204.0,15.2,12.3,160
34,1204-45805,Cooper's,239.0,19.2,17.3,182
35,1387-79159,Red-tailed,377.0,29.1,27.0,200
36,1207-64620,Red-tailed,432.0,32.9,27.1,216
37,1387-79162,Red-tailed,386.0,29.4,28.4,207
38,1387-79164,Red-tailed,374.0,30.1,24.9,197
39,1207-64623,Red-tailed,375.0,31.5,22.2,224
40,1204-45806,Cooper's,236.0,20.4,15.1,185
41,1387-79176,Red-tailed,350.0,29.1,26.0,205
42,1387-79182,Red-tailed,365.0,30.8,26.5,260
43,1387-79183,Red-tailed,345.0,30.1,26.4,200
44,1387-79188,Red-tailed,380.0,30.9,26.4,212
45,1207-64631,Red-tailed,384.0,28.4,26.4,215
46,1423-16223,Sharp-Shinned,171.0,11.9,9.9,138
47,1207-64635,Red-tailed,420.0,31.8,27.5,230
48,1207-64637,Red-tailed,410.0,30.6,27.1,230
49,8777-63481,Red-tailed,382.0,29.4,26.5,225
50,1207-64641,Red-tailed,390.0,32.5,24.8,220
51,1705-24610,Cooper's,247.0,18.2,16.9,160
52,1207-64643,Red-tailed,415.0,33.2,28.3,230
53,1387-92102,Red-tailed,417.0,32.8,29.0,234
54,1207-64644,Red-tailed,412.0,32.2,29.2,218
55,1387-92104,Red-tailed,377.0,29.1,28.0,209
56,1426-16230,Sharp-Shinned,198.0,14.5,12.1,154
57,1705-24628,Cooper's,377.0,23.9,25.4,226
58,1423-16236,Sharp-Shinned,170.0,14.4,12.3,155
59,1387-92153,Red-tailed,375.0,32.7,33.8,242
60,12044-5876,Cooper's,213.0,13.8,23.5,184
61,1387-92154,Red-tailed,382.0,34.7,34.9,247
62,1387-92158,Red-tailed,386.0,30.5,25.5,214
63,1387-92159,Red-tailed,374.0,32.1,26.0,201
64,2003-58581,Sharp-Shinned,205.0,14.1,10.8,144
65,1142-19209,Sharp-Shinned,165.0,11.4,10.7,125
66,1204-45878,Cooper's,243.0,19.2,17.5,196
67,1343-78477,Sharp-Shinned,210.0,15.0,12.2,170
68,1207-72610,Red-tailed,425.0,33.0,30.3,232
69,1387-92180,Red-tailed,480.0,35.4,34.2,239
70,1207-72611,Red-tailed,381.0,32.0,28.2,213
71,1207-72612,Red-tailed,392.0,29.0,25.9,207
72,1343-78478,Sharp-Shinned,196.0,14.0,12.5,146
73,1387-92183,Red-tailed,391.0,32.8,27.9,217
74,1207-72613,Red-tailed,397.0,31.4,28.8,216
75,1207-726114,Red-tailed,410.0,31.8,29.5,222
76,1204-45867,Cooper's,225.0,19.4,15.7,190
77,2003-99307,Sharp-Shinned,202.0,15.0,12.9,160
78,1207-72618,Red-tailed,398.0,35.2,28.3,211
79,1387-19298,Red-tailed,367.0,31.0,26.8,204
80,2003-99308,Sharp-Shinned,193.0,14.6,13.2,146
81,1387-19299,Red-tailed,375.0,29.3,28.9,214
82,22-06-35428,Cooper's,252.0,28.8,20.0,185
83,1204-45868,Cooper's,237.0,19.9,17.3,195
84,1705-24637,Cooper's,268.0,19.9,20.0,215
85,2003-99309,Sharp-Shinned,200.0,15.6,12.3,155
86,1142-19214,Sharp-Shinned,167.0,11.3,10.0,132
87,1142-19215,Sharp-Shinned,162.0,11.8,10.0,130
88,2003-99311,Sharp-Shinned,199.0,15.7,12.5,161
89,2003-99312,Sharp-Shinned,199.0,14.9,12.5,169
90,1705-24639,Cooper's,254.0,24.0,19.6,212
91,1177-14606,Red-tailed,382.0,30.8,27.1,210
92,803-05929,Sharp-Shinned,196.0,14.3,12.7,164
93,1177-04611,Red-tailed,393.0,32.6,27.9,225
94,1207-72621,Red-tailed,410.0,33.6,29.4,216
95,803-05930,Sharp-Shinned,194.0,15.5,13.1,154
96,1207-72624,Red-tailed,404.0,32.5,30.0,220
97,2003-99315,Sharp-Shinned,205.0,15.5,12.25,169
98,1177-04619,Red-tailed,377.0,29.0,25.4,207
99,1177-14621,Red-tailed,404.0,31.55,28.2,224
100,1142-19227,Sharp-Shinned,175.0,11.4,10.0,137
101,1807-53133,Red-tailed,372.0,25.4,24.4,212
102,1177-04629,Red-tailed,331.0,30.4,27.0,210
103,1705-37411,Cooper's,268.0,26.1,19.3,206
104,2003-99318,Sharp-Shinned,191.0,15.3,13.0,149
105,1207-77633,Red-tailed,358.0,29.0,27.4,204
106,803-05931,Sharp-Shinned,188.0,14.2,12.1,154
107,803-05932,Sharp-Shinned,196.0,13.9,13.1,150
108,803-05933,Sharp-Shinned,190.0,14.6,12.8,147
109,1705-37412,Cooper's,145.0,20.5,16.5,180
110,1207-72636,Red-tailed,406.0,31.1,27.0,222
111,1207-74639,Red-tailed,425.0,33.3,29.4,222
112,1142-19233,Sharp-Shinned,170.0,12.2,10.9,132
113,803-05935,Sharp-Shinned,203.0,15.6,13.2,162
114,1177-04642,Red-tailed,370.0,30.5,26.5,218
115,1207-72642,Red-tailed,408.0,32.7,28.8,225
116,1207-72643,Red-tailed,393.0,35.3,27.9,215
117,803-05936,Sharp-Shinned,194.0,14.0,12.4,152
118,1142-19234,Sharp-Shinned,165.0,11.8,10.1,127
119,1142-19235,Sharp-Shinned,155.0,11.8,9.3,122
120,1142-19236,Sharp-Shinned,161.0,12.0,10.4,124
121,2003-99320,Sharp-Shinned,195.0,13.4,13.0,158
122,2003-99321,Sharp-Shinned,196.0,15.4,13.5,150
123,1142-19237,Sharp-Shinned,169.0,11.7,10.0,133
124,1142-19239,Sharp-Shinned,165.0,11.4,10.4,127
125,2206-35432,Cooper's,266.0,25.4,18.8,223
126,1142-09240,Sharp-Shinned,166.0,11.7,10.1,133
127,1177-04657,Red-tailed,373.0,29.6,26.5,207
128,1705-24640,Cooper's,261.0,25.1,19.2,203
129,1177-04662,Red-tailed,383.0,32.7,27.7,208
130,1207-72651,Red-tailed,402.0,33.3,28.3,219
131,1177-04666,Red-tailed,378.0,30.9,28.0,212
132,1177-04668,Red-tailed,378.0,30.7,28.0,201
133,1177-04669,Red-tailed,262.0,31.2,28.0,200
134,1177-04670,Red-tailed,379.0,32.2,28.6,217
135,1177-04672,Red-tailed,380.0,27.0,24.9,199
136,1207-72652,Red-tailed,389.0,32.1,27.1,207
137,1177-04674,Red-tailed,368.0,27.0,26.8,200
138,1177-04677,Red-tailed,385.0,30.9,27.3,216
139,2003-99323,Sharp-Shinned,199.0,15.0,12.3,142
140,1705-24641,Cooper's,230.0,23.55,16.9,192
141,1207-72657,Red-tailed,389.0,33.1,29.0,223
142,804-00203,Cooper's,230.0,20.2,16.1,198
143,2003-99329,Sharp-Shinned,199.0,15.5,12.0,152
144,1207-72658,Red-tailed,385.0,30.8,27.5,216
145,1177-04684,Red-tailed,419.0,31.5,29.2,224
146,2003-99330,Sharp-Shinned,203.0,14.2,13.5,157
147,1142-19248,Sharp-Shinned,162.0,11.0,10.2,119
148,1142-19250,Sharp-Shinned,161.0,11.0,9.7,124
149,2003-99331,Sharp-Shinned,199.0,14.5,12.8,159
150,2003-99332,Sharp-Shinned,213.0,15.2,13.7,159
151,1142-19254,Sharp-Shinned,169.0,11.8,10.2,136
152,1142-19255,Sharp-Shinned,172.0,11.8,9.8,132
153,1142-19256,Sharp-Shinned,167.0,10.8,10.3,131
154,1177-04690,Red-tailed,374.0,31.3,26.5,206
155,2003-99333,Sharp-Shinned,202.0,14.9,13.3,162
156,2003-99334,Sharp-Shinned,200.0,13.5,11.9,163
157,1807-66309,Red-tailed,378.0,30.0,24.6,206
158,1750-24644,Cooper's,254.0,23.8,19.5,218
159,1177-04695,Red-tailed,389.0,30.6,26.6,210
160,1207-72662,Red-tailed,404.0,32.8,29.4,224
161,1705-24645,Cooper's,253.0,22.6,19.1,209
162,2003-99339,Sharp-Shinned,196.0,14.0,12.2,156
163,1177-04696,Red-tailed,395.0,30.5,25.8,218
164,1177-04701,Red-tailed,377.0,31.7,25.6,206
165,1177-04702,Red-tailed,277.0,32.1,29.7,207
166,1207-72663,Red-tailed,435.0,34.5,27.4,230
167,1705-24648,Cooper's,260.0,24.2,20.0,216
168,1807-53135,Red-tailed,359.0,30.1,27.5,201
169,2003-99342,Sharp-Shinned,197.0,14.9,12.2,159
170,803-05940,Sharp-Shinned,193.0,14.9,13.1,145
171,2003-99346,Sharp-Shinned,203.0,14.7,13.8,156
172,1142-19264,Sharp-Shinned,159.0,11.5,10.0,130
173,2003-99348,Sharp-Shinned,191.0,14.8,12.4,147
174,804-00205,Cooper's,234.0,21.9,12.4,192
175,2206-35435,Cooper's,169.0,23.6,16.7,233
176,1142-19270,Sharp-Shinned,168.0,11.6,10.7,134
177,804-00206,Cooper's,223.0,20.6,15.9,181
178,1177-04720,Red-tailed,406.0,33.3,29.3,227
179,1142-19271,Sharp-Shinned,160.0,11.4,9.9,136
180,803-05942,Sharp-Shinned,193.0,14.8,12.3,154
181,1177-04725,Red-tailed,350.0,30.3,29.5,199
182,1207-72672,Red-tailed,395.0,33.4,30.3,217
183,1177-04731,Red-tailed,405.0,31.8,27.9,218
184,1177-04732,Red-tailed,371.0,28.4,24.9,204
185,1177-04734,Red-tailed,368.0,30.4,27.3,216
186,1207-72673,Red-tailed,391.0,30.1,26.8,217
187,1177-0472,Red-tailed,397.0,28.8,22.1,219
188,1207-72674,Red-tailed,385.0,33.3,30.3,211
189,1177-0745,Red-tailed,365.0,31.6,25.9,208
190,1207-99560,Red-tailed,396.0,23.8,27.0,228
191,1705-37419,Cooper's,230.0,19.4,15.7,188
192,1705-37420,Cooper's,252.0,28.4,19.5,211
193,2003-99368,Sharp-Shinned,192.0,14.2,11.7,160
194,2003-99369,Sharp-Shinned,195.0,14.0,13.6,158
195,1204-45882,Cooper's,233.0,21.3,16.3,187
196,1177-04751,Red-tailed,364.0,28.2,26.1,196
197,1177-04756,Red-tailed,372.0,29.0,24.3,197
198,2003-99370,Sharp-Shinned,194.0,14.5,13.0,147
199,1142-19287,Sharp-Shinned,161.0,11.7,9.8,129
200,1177-04761,Red-tailed,380.0,31.6,27.0,205
201,788-36611,Red-tailed,411.0,32.7,28.1,236
202,1142-19288,Sharp-Shinned,161.0,12.4,9.6,121
203,1204-45885,Cooper's,230.0,22.1,16.0,186
204,1177-04765,Red-tailed,382.0,31.6,24.9,218
205,1807-53142,Red-tailed,371.0,29.2,25.3,208
206,1177-04766,Red-tailed,370.0,30.2,25.4,212
207,2003-99372,Sharp-Shinned,194.0,14.8,12.8,152
208,1177-04767,Red-tailed,347.0,29.8,25.3,203
209,1177-04769,Red-tailed,392.0,28.1,26.3,196
210,1177-04771,Red-tailed,387.0,32.7,28.0,212
211,1177-04773,Red-tailed,370.0,31.4,26.9,201
212,1177-04774,Red-tailed,360.0,30.6,26.2,224
213,1177-04775,Red-tailed,366.0,27.2,25.3,199
214,1177-04776,Red-tailed,402.0,31.0,28.7,219
215,1207-53145,Red-tailed,199.0,32.1,28.7,222
