,Row,Col,Hgt97,Diam97,Spread97,Needles97,Spacing
511,R27,C8,258.0,3.06,121.0,71.0,10
513,R27,C10,299.0,6.0,199.0,75.0,10
514,R27,C11,267.0,3.9,152.0,73.0,10
515,R27,C12,373.0,6.0,228.0,70.0,10
516,R27,C13,386.0,8.3,238.0,85.0,10
517,R27,C14,366.0,6.8,224.0,70.0,10
519,R27,C16,266.0,2.6,151.0,74.0,10
520,R27,C17,251.0,4.1,170.0,60.0,10
521,R27,C18,257.0,5.0,170.0,76.0,10
522,R27,C19,386.0,7.5,197.0,81.0,10
524,R27,C21,376.0,6.7,180.0,72.0,10
525,R27,C22,456.0,7.2,253.0,67.0,10
526,R27,C23,388.0,7.0,183.0,92.0,10
528,R27,C25,291.0,4.2,161.0,70.0,10
529,R27,C26,371.0,6.6,204.0,86.0,10
530,R27,C27,190.0,1.1,118.0,69.0,10
531,R27,C28,345.0,7.5,218.0,63.0,10
532,R27,C29,229.0,3.13,149.0,75.0,10
533,R27,C30,364.0,6.9,150.0,91.0,10
534,R28,C1,278.0,3.5,146.0,26.0,10
535,R28,C2,433.0,6.9,173.0,87.0,10
536,R28,C3,421.0,7.2,227.0,77.0,10
537,R28,C4,444.0,7.1,208.0,74.0,10
538,R28,C5,476.0,9.4,237.0,83.0,10
539,R28,C6,510.0,8.1,212.0,82.0,10
540,R28,C7,462.0,8.6,185.0,81.0,10
541,R28,C8,383.0,6.7,188.0,79.0,10
542,R28,C9,163.0,2.1,97.0,78.0,10
543,R28,C10,413.0,6.4,193.0,94.0,10
544,R28,C11,270.0,3.3,146.0,69.0,10
545,R28,C12,357.0,5.6,204.0,80.0,10
546,R28,C13,399.0,6.4,225.0,99.0,10
548,R28,C15,218.0,2.2,97.0,62.0,10
549,R28,C16,327.0,5.3,198.0,79.0,10
550,R28,C17,115.0,1.83,68.0,53.0,10
551,R28,C18,326.0,5.4,170.0,99.0,10
552,R28,C19,449.0,8.2,247.0,84.0,10
553,R28,C20,423.0,7.7,209.0,72.0,10
554,R28,C21,464.0,10.4,308.0,100.0,10
556,R28,C23,297.0,6.1,187.0,87.0,10
558,R28,C25,442.0,8.3,230.0,85.0,10
559,R28,C26,415.0,6.7,258.0,83.0,10
560,R28,C27,329.0,6.7,258.0,83.0,10
561,R28,C28,238.0,3.8,120.0,69.0,10
562,R28,C29,365.0,6.8,176.0,85.0,10
564,R29,C1,367.0,7.7,190.0,79.0,10
565,R29,C2,331.0,6.7,187.0,91.0,10
566,R29,C3,359.0,6.0,167.0,89.0,10
567,R29,C4,414.0,7.9,233.0,90.0,10
568,R29,C5,444.0,8.6,243.0,82.0,10
570,R29,C7,310.0,5.5,181.0,60.0,10
571,R29,C8,356.0,5.0,158.0,81.0,10
573,R29,C10,388.0,6.9,211.0,98.0,10
574,R29,C11,429.0,9.3,264.0,78.0,10
575,R29,C12,362.0,6.4,196.0,68.0,10
576,R29,C13,380.0,6.0,206.0,73.0,10
579,R29,C16,343.0,7.2,207.0,70.0,10
580,R29,C17,419.0,8.0,220.0,82.0,10
581,R29,C18,460.0,9.1,270.0,81.0,10
582,R29,C19,356.0,7.2,197.0,75.0,10
584,R29,C21,381.0,8.16,235.0,100.0,10
585,R29,C22,303.0,5.2,174.0,64.0,10
586,R29,C23,337.0,7.0,224.0,67.0,10
587,R29,C24,276.0,4.3,135.0,78.0,10
589,R29,C26,428.0,7.3,220.0,76.0,10
590,R29,C27,409.0,6.8,255.0,106.0,10
592,R29,C29,319.0,6.0,185.0,89.0,10
593,R30,C1,410.0,7.6,195.0,85.0,10
594,R30,C2,366.0,5.8,170.0,95.0,10
595,R30,C3,397.0,6.8,193.0,79.0,10
596,R30,C4,353.0,6.4,164.0,80.0,10
597,R30,C5,511.0,8.0,245.0,94.0,10
598,R30,C6,391.0,7.1,184.0,78.0,10
599,R30,C7,284.0,3.6,121.0,103.0,10
600,R30,C8,125.0,0.6,60.0,60.0,10
602,R30,C10,448.0,7.2,228.0,82.0,10
603,R30,C11,434.0,8.0,274.0,83.0,10
604,R30,C12,464.0,8.6,255.0,76.0,10
605,R30,C13,325.0,6.0,191.0,86.0,10
606,R30,C14,331.0,6.1,210.0,98.0,10
610,R30,C18,342.0,4.7,196.0,81.0,10
611,R30,C19,158.0,1.4,144.0,69.0,10
612,R30,C20,322.0,5.2,255.0,98.0,10
613,R30,C21,362.0,6.7,240.0,85.0,10
614,R30,C22,401.0,8.6,231.0,73.0,10
616,R30,C24,300.0,4.2,140.0,83.0,10
617,R30,C25,297.0,4.9,132.0,79.0,10
618,R30,C26,244.0,3.3,120.0,78.0,10
619,R30,C27,266.0,3.7,114.0,77.0,10
621,R31,C1,103.0,1.03,96.0,84.0,10
622,R31,C2,284.0,3.5,132.0,60.0,10
623,R31,C3,398.0,7.92,219.0,70.0,10
624,R31,C4,407.0,5.6,177.0,74.0,10
625,R31,C5,425.0,7.3,238.0,74.0,10
626,R31,C6,419.0,7.4,200.0,91.0,10
630,R31,C10,376.0,7.6,212.0,65.0,10
633,R31,C13,211.0,2.8,100.0,74.0,10
634,R31,C14,377.0,6.6,210.0,62.0,10
635,R31,C15,344.0,5.3,167.0,78.0,10
636,R31,C16,370.0,6.5,230.0,74.0,10
637,R31,C17,408.0,7.3,245.0,77.0,10
638,R31,C18,183.0,2.4,110.0,87.0,10
639,R31,C19,328.0,4.5,120.0,75.0,10
642,R31,C22,321.0,4.5,143.0,78.0,10
643,R31,C23,473.0,7.0,205.0,85.0,10
645,R31,C25,411.0,7.8,225.0,54.0,10
646,R31,C26,411.0,7.7,200.0,72.0,10
647,R31,C27,305.0,4.7,145.0,52.0,10
648,R32,C1,395.0,6.2,167.0,84.0,10
649,R32,C2,405.0,6.8,192.0,94.0,10
650,R32,C3,426.0,8.6,210.0,86.0,10
651,R32,C4,462.0,8.7,285.0,91.0,10
653,R32,C6,357.0,6.7,164.0,99.0,10
654,R32,C7,429.0,7.0,204.0,59.0,10
655,R32,C8,126.0,0.9,68.0,57.0,10
656,R32,C9,250.0,4.3,115.0,92.0,10
657,R32,C10,319.0,6.1,163.0,75.0,10
658,R32,C11,435.0,8.4,270.0,83.0,10
659,R32,C12,390.0,7.5,205.0,104.0,10
660,R32,C13,308.0,5.1,129.0,72.0,10
663,R32,C16,361.0,7.5,201.0,78.0,10
664,R32,C17,353.0,7.7,198.0,91.0,10
665,R32,C18,363.0,9.0,225.0,69.0,10
666,R32,C19,443.0,8.0,235.0,66.0,10
667,R32,C20,370.0,7.5,208.0,89.0,10
668,R32,C21,330.0,5.7,210.0,76.0,10
670,R32,C23,299.0,5.5,182.0,76.0,10
671,R32,C24,441.0,7.7,203.0,74.0,10
672,R32,C25,323.0,5.1,173.0,69.0,10
673,R32,C26,231.0,3.3,120.0,98.0,10
674,R32,C27,198.0,2.5,105.0,80.0,10
675,R33,C1,462.0,6.7,171.0,67.0,10
676,R33,C2,457.0,6.6,196.0,76.0,10
677,R33,C3,390.0,5.5,153.0,55.0,10
678,R33,C4,365.0,5.5,176.0,72.0,10
679,R33,C5,438.0,8.1,96.0,68.0,10
680,R33,C6,394.0,5.9,186.0,75.0,10
681,R33,C7,403.0,7.6,200.0,96.0,10
682,R33,C8,425.0,8.7,204.0,65.0,10
683,R33,C9,267.0,2.8,102.0,72.0,10
684,R33,C10,457.0,7.1,104.0,71.0,10
685,R33,C11,265.0,4.2,137.0,75.0,10
686,R33,C12,412.0,7.8,235.0,69.0,10
687,R33,C13,374.0,5.5,119.0,42.0,10
688,R33,C14,395.0,6.8,207.0,63.0,10
690,R33,C16,337.0,5.5,190.0,68.0,10
692,R33,C18,437.0,6.5,233.0,81.0,10
693,R33,C19,328.0,5.5,174.0,72.0,10
694,R33,C20,455.0,7.7,226.0,63.0,10
695,R33,C21,403.0,6.5,145.0,75.0,10
696,R33,C21,318.0,5.3,157.0,65.0,10
698,R33,C23,374.0,5.6,192.0,53.0,10
699,R33,C24,408.0,8.2,203.0,66.0,10
700,R33,C25,406.0,6.6,174.0,68.0,10
702,R33,C27,285.0,4.0,47.0,84.0,10
704,R34,C2,459.0,8.7,190.0,81.0,10
705,R34,C3,496.0,8.9,255.0,84.0,10
706,R34,C4,153.0,1.4,90.0,75.0,10
707,R34,C5,423.0,7.5,170.0,77.0,10
708,R34,C6,447.0,7.6,195.0,92.0,10
709,R34,C7,436.0,8.1,200.0,77.0,10
710,R34,C8,228.0,2.8,100.0,70.0,10
711,R34,C9,286.0,4.3,122.0,61.0,10
712,R34,C10,387.0,6.9,157.0,69.0,10
713,R34,C11,206.0,2.2,115.0,62.0,10
714,R34,C12,318.0,4.3,130.0,81.0,10
715,R34,C13,200.0,2.8,132.0,76.0,10
716,R34,C14,301.0,5.4,182.0,101.0,10
717,R34,C15,418.0,7.3,191.0,73.0,10
718,R34,C16,370.0,4.8,193.0,70.0,10
719,R34,C17,336.0,6.5,160.0,80.0,10
720,R34,C18,362.0,5.3,150.0,71.0,10
721,R34,C19,446.0,7.6,185.0,73.0,10
722,R34,C20,371.0,7.9,195.0,84.0,10
723,R34,C21,550.0,8.0,210.0,94.0,10
724,R34,C22,452.0,7.3,160.0,76.0,10
725,R34,C23,403.0,7.2,180.0,73.0,10
726,R34,C24,440.0,7.4,200.0,79.0,10
727,R34,C25,358.0,4.5,113.0,71.0,10
728,R34,C26,454.0,7.6,260.0,103.0,10
729,R34,C27,420.0,7.5,230.0,87.0,10
730,R35,C1,429.0,6.8,245.0,51.0,10
731,R35,C2,399.0,8.1,233.0,80.0,10
732,R35,C3,263.0,3.6,131.0,65.0,10
734,R35,C5,367.0,5.7,137.0,60.0,10
735,R35,C6,366.0,5.7,169.0,53.0,10
739,R35,C10,242.0,3.1,143.0,67.0,10
740,R35,C11,200.0,2.6,128.0,70.0,10
741,R35,C12,300.0,4.3,147.0,75.0,10
742,R35,C13,389.0,8.5,234.0,57.0,10
743,R35,C14,281.0,3.5,138.0,60.0,10
744,R35,C15,373.0,6.6,225.0,70.0,10
745,R35,C16,399.0,7.7,280.0,64.0,10
746,R35,C17,340.0,6.5,183.0,67.0,10
747,R35,C18,222.0,2.5,100.0,35.0,10
748,R35,C19,394.0,8.0,242.0,80.0,10
749,R35,C20,366.0,5.9,184.0,60.0,10
750,R35,C21,462.0,7.4,226.0,65.0,10
751,R35,C22,417.0,8.6,250.0,65.0,10
752,R35,C23,354.0,6.1,184.0,60.0,10
753,R35,C24,312.0,4.6,152.0,55.0,10
754,R35,C25,404.0,7.0,202.0,55.0,10
755,R35,C26,282.0,5.9,211.0,60.0,10
756,R35,C27,228.0,2.8,161.0,75.0,10
757,R36,C1,385.0,6.5,218.0,100.0,10
758,R36,C2,331.0,5.1,140.0,95.0,10
759,R36,C3,455.0,7.8,227.0,81.0,10
761,R36,C5,439.0,6.9,165.0,78.0,10
762,R36,C6,320.0,6.0,177.0,89.0,10
763,R36,C7,230.0,3.3,100.0,92.0,10
765,R36,C9,345.0,6.5,165.0,98.0,10
767,R36,C11,377.0,5.9,156.0,62.0,10
768,R36,C12,325.0,6.3,180.0,65.0,10
769,R36,C13,339.0,6.7,168.0,80.0,10
770,R36,C14,393.0,6.0,215.0,63.0,10
771,R36,C15,355.0,6.0,174.0,77.0,10
772,R36,C16,358.0,6.7,181.0,90.0,10
773,R36,C17,347.0,7.7,245.0,65.0,10
774,R36,C18,415.0,6.97,163.0,85.0,10
775,R36,C19,144.0,1.5,84.0,90.0,10
776,R36,C20,509.0,8.4,269.0,85.0,10
777,R36,C21,360.0,7.3,204.0,79.0,10
779,R36,C23,415.0,8.3,189.0,89.0,10
780,R36,C24,431.0,8.9,232.0,85.0,10
781,R36,C25,440.0,7.8,200.0,78.0,10
782,R36,C26,354.0,5.3,141.0,75.0,10
783,R36,C27,369.0,6.1,165.0,85.0,10
785,R37,C2,125.0,5.7,168.0,81.0,10
786,R37,C3,405.0,6.5,215.0,85.0,10
788,R37,C5,306.0,4.5,161.0,62.0,10
789,R37,C6,277.0,4.8,161.0,93.0,10
790,R37,C7,342.0,5.1,152.0,73.0,10
791,R37,C8,421.0,6.5,203.0,62.0,10
792,R37,C9,275.0,4.1,122.0,102.0,10
793,R37,C10,308.0,4.5,149.0,59.0,10
794,R37,C11,240.0,4.3,162.0,63.0,10
795,R37,C12,268.0,3.5,134.0,81.0,10
796,R37,C13,406.0,7.4,203.0,70.0,10
797,R37,C14,378.0,8.5,243.0,72.0,10
798,R37,C15,399.0,7.3,260.0,61.0,10
799,R37,C16,365.0,5.6,200.0,75.0,10
800,R37,C17,360.0,6.1,200.0,65.0,10
801,R37,C18,322.0,5.2,184.0,62.0,10
802,R37,C19,366.0,5.3,160.0,82.0,10
803,R37,C20,254.0,2.8,118.0,61.0,10
804,R37,C21,511.0,8.9,335.0,62.0,10
805,R37,C22,414.0,7.9,200.0,75.0,10
806,R37,C23,373.0,7.1,192.0,65.0,10
807,R37,C24,429.0,7.7,270.0,67.0,10
808,R37,C25,442.0,6.7,236.0,69.0,10
809,R37,C26,442.0,6.8,220.0,55.0,10
810,R37,C27,304.0,4.1,183.0,64.0,10
811,R38,C1,325.0,5.1,168.0,77.0,10
812,R38,C2,249.0,3.4,179.0,97.0,10
813,R38,C3,160.0,2.6,85.0,68.0,10
815,R38,C5,138.0,1.0,78.0,64.0,10
816,R38,C6,421.0,5.8,180.0,55.0,10
817,R38,C7,325.0,5.6,161.0,73.0,10
818,R38,C8,301.0,4.1,187.0,76.0,10
819,R38,C9,357.0,5.1,140.0,72.0,10
820,R38,C10,426.0,6.6,213.0,76.0,10
821,R38,C11,471.0,7.5,197.0,90.0,10
822,R38,C12,353.0,6.2,168.0,63.0,10
823,R38,C13,348.0,5.5,203.0,69.0,10
824,R38,C14,397.0,5.4,208.0,74.0,10
825,R38,C15,307.0,5.0,137.0,65.0,10
826,R38,C16,350.0,5.4,155.0,53.0,10
827,R38,C17,397.0,6.9,162.0,58.0,10
828,R38,C18,322.0,6.1,158.0,51.0,10
829,R38,C19,413.0,6.7,212.0,62.0,10
830,R38,C20,384.0,7.2,230.0,56.0,10
831,R38,C21,469.0,8.7,315.0,68.0,10
832,R38,C22,392.0,7.5,188.0,61.0,10
833,R38,C23,371.0,5.6,168.0,47.0,10
834,R38,C24,423.0,8.4,246.0,81.0,10
835,R38,C25,394.0,7.1,220.0,66.0,10
836,R38,C26,435.0,6.6,180.0,70.0,10
839,R39,C2,276.0,3.8,90.0,59.0,10
840,R39,C3,352.0,5.4,135.0,95.0,10
841,R39,C4,408.0,7.5,159.0,82.0,10
842,R39,C5,396.0,6.3,155.0,52.0,10
843,R39,C6,221.0,2.8,89.0,74.0,10
844,R39,C7,338.0,7.2,181.0,54.0,10
845,R39,C8,349.0,5.4,137.0,78.0,10
846,R39,C9,284.0,4.9,141.0,80.0,10
847,R39,C10,163.0,2.3,92.0,81.0,10
848,R39,C11,401.0,6.9,209.0,74.0,10
850,R39,C13,346.0,5.4,142.0,67.0,10
851,R39,C14,333.0,6.1,183.0,48.0,10
852,R39,C15,407.0,7.9,205.0,71.0,10
853,R39,C16,478.0,8.7,172.0,55.0,10
854,R39,C17,296.0,5.4,150.0,50.0,10
855,R39,C18,434.0,7.5,162.0,59.0,10
856,R39,C19,474.0,8.8,216.0,52.0,10
857,R39,C20,427.0,7.0,205.0,52.0,10
858,R39,C21,397.0,7.9,202.0,60.0,10
859,R39,C22,544.0,9.0,280.0,90.0,10
860,R39,C23,418.0,7.5,174.0,61.0,10
861,R39,C24,371.0,6.8,162.0,68.0,10
862,R39,C25,374.0,7.0,163.0,71.0,10
863,R39,C26,398.0,7.4,98.0,56.0,10
864,R39,C27,321.0,4.9,142.0,53.0,10
865,R40,C1,364.0,6.7,173.0,64.0,10
866,R40,C2,320.0,5.0,167.0,55.0,10
867,R40,C3,462.0,7.9,273.0,64.0,10
868,R40,C4,433.0,8.1,280.0,65.0,10
869,R40,C5,309.0,5.0,169.0,85.0,10
870,R40,C6,425.0,7.3,241.0,50.0,10
872,R40,C8,386.0,7.1,218.0,86.0,10
873,R40,C9,450.0,7.0,236.0,74.0,10
874,R40,C10,419.0,7.9,230.0,93.0,10
875,R40,C11,355.0,5.4,169.0,51.0,10
876,R40,C12,447.0,7.9,246.0,82.0,10
877,R40,C13,427.0,7.4,208.0,70.0,10
878,R40,C14,379.0,5.5,138.0,37.0,10
879,R40,C15,371.0,6.9,184.0,73.0,10
880,R40,C16,408.0,7.0,230.0,60.0,10
881,R40,C17,384.0,6.5,191.0,63.0,10
883,R40,C19,486.0,7.5,208.0,55.0,10
884,R40,C20,316.0,5.1,134.0,60.0,10
885,R40,C21,459.0,8.2,270.0,66.0,10
886,R40,C22,510.0,7.9,292.0,61.0,10
887,R40,C23,413.0,7.9,183.0,51.0,10
888,R40,C24,382.0,6.4,192.0,61.0,10
889,R40,C25,432.0,8.4,226.0,58.0,10
890,R40,C26,431.0,7.7,183.0,52.0,10
891,R40,C27,386.0,6.4,163.0,65.0,10
892,R41,C1,382.0,7.1,218.0,81.0,10
894,R41,C3,310.0,5.1,147.0,79.0,10
895,R41,C4,416.0,7.3,220.0,45.0,10
896,R41,C5,458.0,8.1,240.0,68.0,10
897,R41,C6,364.0,6.7,169.0,99.0,10
898,R41,C7,428.0,7.8,192.0,90.0,10
899,R41,C8,339.0,5.4,142.0,95.0,10
900,R41,C9,438.0,7.9,262.0,91.0,10
901,R41,C10,378.0,5.5,172.0,94.0,10
902,R41,C11,315.0,4.4,129.0,90.0,10
903,R41,C12,457.0,7.1,210.0,75.0,10
904,R41,C13,364.0,5.0,157.0,85.0,10
905,R41,C14,419.0,7.2,220.0,77.0,10
906,R41,C15,401.0,6.9,183.0,59.0,10
907,R41,C16,379.0,5.1,202.0,70.0,10
908,R41,C17,411.0,6.6,209.0,81.0,10
909,R41,C18,420.0,7.6,194.0,80.0,10
910,R41,C19,405.0,7.6,229.0,85.0,10
912,R41,C21,558.0,10.0,290.0,85.0,10
913,R41,C22,371.0,5.3,181.0,75.0,10
914,R41,C23,375.0,5.9,191.0,78.0,10
915,R41,C24,407.0,7.4,272.0,74.0,10
916,R41,C25,418.0,8.1,264.0,73.0,10
917,R41,C26,320.0,4.5,165.0,59.0,10
918,R41,C27,319.0,4.5,188.0,65.0,10
920,R42,C2,327.0,6.0,182.0,87.0,10
921,R42,C3,408.0,6.2,222.0,95.0,10
922,R42,C4,362.0,5.5,177.0,81.0,10
923,R42,C5,425.0,7.1,227.0,61.0,10
924,R42,C6,219.0,4.2,155.0,80.0,10
925,R42,C7,405.0,6.7,199.0,57.0,10
926,R42,C8,310.0,4.8,150.0,84.0,10
927,R42,C9,482.0,8.4,300.0,74.0,10
928,R42,C10,409.0,6.5,204.0,70.0,10
931,R42,C13,294.0,3.5,121.0,68.0,10
932,R42,C14,356.0,5.7,158.0,77.0,10
933,R42,C15,319.0,3.8,172.0,66.0,10
934,R42,C16,551.0,8.8,339.0,90.0,10
935,R42,C17,407.0,5.1,230.0,64.0,10
936,R42,C18,473.0,8.2,280.0,91.0,10
937,R42,C19,381.0,5.5,194.0,82.0,10
938,R42,C20,312.0,4.1,162.0,62.0,10
939,R42,C21,360.0,6.9,178.0,82.0,10
940,R42,C22,463.0,6.9,211.0,85.0,10
941,R42,C23,437.0,7.8,224.0,80.0,10
942,R42,C24,482.0,8.0,244.0,90.0,10
943,R42,C25,401.0,7.9,215.0,79.0,10
944,R42,C26,345.0,5.1,160.0,75.0,10
945,R42,C27,399.0,7.2,185.0,76.0,10
946,R43,C1,235.0,4.1,135.0,61.0,10
947,R43,C2,330.0,5.3,177.0,70.0,10
948,R43,C3,335.0,4.7,169.0,76.0,10
949,R43,C4,393.0,7.2,226.0,78.0,10
950,R43,C5,332.0,5.7,147.0,79.0,10
951,R43,C6,387.0,6.5,186.0,68.0,10
952,R43,C7,310.0,5.0,162.0,67.0,10
953,R43,C8,242.0,3.1,148.0,67.0,10
955,R43,C10,347.0,5.2,160.0,68.0,10
956,R43,C11,181.0,1.7,86.0,83.0,10
957,R43,C12,478.0,7.7,246.0,71.0,10
959,R43,C14,502.0,8.3,260.0,83.0,10
960,R43,C15,387.0,5.8,205.0,58.0,10
961,R43,C16,417.0,6.0,224.0,73.0,10
962,R43,C17,393.0,6.6,195.0,72.0,10
963,R43,C18,507.0,10.7,253.0,83.0,10
965,R43,C20,453.0,7.7,270.0,85.0,10
966,R43,C21,403.0,6.0,208.0,76.0,10
967,R43,C22,427.0,7.8,213.0,75.0,10
968,R43,C23,383.0,6.0,201.0,66.0,10
969,R43,C24,417.0,6.7,178.0,56.0,10
970,R43,C25,408.0,7.8,178.0,69.0,10
971,R43,C26,266.0,3.0,65.0,83.0,10
972,R43,C27,353.0,5.8,208.0,84.0,10
973,R44,C1,246.0,2.8,188.0,64.0,10
974,R44,C2,394.0,7.3,185.0,67.0,10
975,R44,C3,496.0,7.1,194.0,62.0,10
976,R44,C4,515.0,8.0,252.0,74.0,10
977,R44,C5,361.0,5.8,158.0,68.0,10
978,R44,C6,461.0,7.6,224.0,69.0,10
979,R44,C7,439.0,6.8,219.0,74.0,10
980,R44,C8,389.0,5.6,161.0,55.0,10
981,R44,C9,160.0,1.8,113.0,75.0,10
982,R44,C10,416.0,7.8,248.0,80.0,10
984,R44,C12,381.0,6.3,190.0,55.0,10
985,R44,C13,275.0,4.7,110.0,64.0,10
986,R44,C14,325.0,3.7,147.0,80.0,10
987,R44,C15,468.0,7.5,227.0,66.0,10
988,R44,C16,433.0,8.2,252.0,82.0,10
989,R44,C17,402.0,6.3,198.0,72.0,10
990,R44,C18,282.0,3.1,135.0,73.0,10
991,R44,C19,422.0,6.5,178.0,52.0,10
992,R44,C20,324.0,7.3,228.0,63.0,10
993,R44,C21,334.0,6.2,226.0,66.0,10
994,R44,C22,287.0,3.7,116.0,65.0,10
995,R44,C23,448.0,6.4,229.0,85.0,10
996,R44,C24,388.0,7.0,206.0,63.0,10
997,R44,C25,381.0,7.2,241.0,63.0,10
998,R44,C26,263.0,4.9,127.0,63.0,10
